,Settlement Date,Settlement Period,Quantity
0,2021-09-21,48.0,23084.0
1,2021-09-21,47.0,24122.0
2,2021-09-21,46.0,25614.0
3,2021-09-21,45.0,27426.0
4,2021-09-21,44.0,29335.0
5,2021-09-21,43.0,30934.0
6,2021-09-21,42.0,32192.0
7,2021-09-21,41.0,33321.0
8,2021-09-21,40.0,34090.0
9,2021-09-21,39.0,33900.0
10,2021-09-21,38.0,33874.0
11,2021-09-21,37.0,34449.0
12,2021-09-21,36.0,34970.0
13,2021-09-21,35.0,35459.0
14,2021-09-21,34.0,35429.0
15,2021-09-21,33.0,35051.0
16,2021-09-21,32.0,34689.0
17,2021-09-21,31.0,34105.0
18,2021-09-21,30.0,33814.0
19,2021-09-21,29.0,34183.0
20,2021-09-21,28.0,34608.0
21,2021-09-21,27.0,34845.0
22,2021-09-21,26.0,35099.0
23,2021-09-21,25.0,35090.0
24,2021-09-21,24.0,34606.0
25,2021-09-21,23.0,34243.0
26,2021-09-21,22.0,34078.0
27,2021-09-21,21.0,33709.0
28,2021-09-21,20.0,33605.0
29,2021-09-21,19.0,33611.0
30,2021-09-21,18.0,32981.0
31,2021-09-21,17.0,32148.0
32,2021-09-21,16.0,31640.0
33,2021-09-21,15.0,30790.0
34,2021-09-21,14.0,28544.0
35,2021-09-21,13.0,25917.0
36,2021-09-21,12.0,23437.0
37,2021-09-21,11.0,21624.0
38,2021-09-21,10.0,20857.0
39,2021-09-21,9.0,20554.0
40,2021-09-21,8.0,20496.0
41,2021-09-21,7.0,20461.0
42,2021-09-21,6.0,20602.0
43,2021-09-21,5.0,20970.0
44,2021-09-21,4.0,21308.0
45,2021-09-21,3.0,21402.0
46,2021-09-21,2.0,21727.0
47,2021-09-21,1.0,22288.0
